id_univoco,fonte,data_pubblicazione,data_scraping,titolo,url,tipo_contenuto,lingua,testo_completo,hash_contenuto,fonte_articolo
d19cc255378caf98b614eb539cff340a9117d55480d65c1a318777be7da12700,gnews,2026-04-30,2026-05-02T23:03:48.687816,Buon compleanno Internet: 40 anni fa la rete arrivò in Italia. Ora arriva l'AI. Siamo davvero pronti?,https://www.lanazione.it/pisa/cultura/buon-compleanno-internet-40-anni-fa-la-rete-arrivo-in-italia-ora-arriva-lai-siamo-davvero-pronti-wl5amlmp,notizia,it,"Buon compleanno Internet: 40 anni fa la rete arrivò in Italia. Ora arriva l'AI. Siamo davvero pronti? Era il 30 aprile 1986. Un laboratorio a Pisa, un vecchio Mac, e un segnale verso la Pennsylvania. Quarant'anni dopo, quella piccola scintilla è diventata l'intelligenza artificiale.",d19cc255378caf98b614eb539cff340a9117d55480d65c1a318777be7da12700,LA NAZIONE
b78c678e74b006c64124f539b60a86f522b2d38142fe4d3e0311efdbae93d520,gnews,2026-04-30,2026-05-03T01:37:38.153253,"Diabete, Roche lancia in Italia Accu-Chek SmartGuide per monitorare il glucosio",https://www.tgcom24.mediaset.it/tgcomlab/eventi/diabete-roche-lancia-in-italia-accu-chek-smartguide-per-monitorare-il-glucosio_111574632-202602k.shtml,notizia,it,"Diabete, Roche lancia in Italia Accu-Chek SmartGuide per monitorare il glucosio Si tratta di un nuovo sistema di monitoraggio in continuo, basato sull’intelligenza artificiale e dotato di un sensore ""all in one""",b78c678e74b006c64124f539b60a86f522b2d38142fe4d3e0311efdbae93d520,TGCOM
addcdf5e69ec34140a39d1fd7c6f0e6f86a73b27607f59c245fa87a883428e74,gnews,2026-04-30,2026-05-03T01:37:38.153253,"Guerra ibrida, algoritmi, cybersicurezza: quel filo rosso che spaventa il Vaticano",https://www.lastampa.it/politica/2026/04/30/news/guerra_ibrida_algoritmi_cybersicurezza_quel_filo_rosso_che_spaventa_il_vaticano-15605172/,notizia,it,"Guerra ibrida, algoritmi, cybersicurezza: quel filo rosso che spaventa il Vaticano Il saggio di Luigi Ricci (Lindau edizioni), esperto di sicurezza esamina i rischi e le minacce della chiesa nell’era dell’intelligenza artificiale",addcdf5e69ec34140a39d1fd7c6f0e6f86a73b27607f59c245fa87a883428e74,La Stampa
803240a5cfc0a81eaed78ed5ae8af2e9b7ea29efff9decfd6da70d7fbe39aa7c,gnews,2026-04-30,2026-05-03T01:37:38.153253,Le api sanno anche contare: il nuovo studio che sorprende la scienza,https://www.quotidiano.net/magazine/le-api-sanno-anche-contare-il-nuovo-studio-che-sorprende-la-scienza-rxnzvmu3,notizia,it,Le api sanno anche contare: il nuovo studio che sorprende la scienza Questi insetti dimostrano una sorprendente capacità matematica e non è solo istinto. Comprendere come elaborano le informazioni potrebbe influenzare anche lo sviluppo dell’intelligenza artificiale,803240a5cfc0a81eaed78ed5ae8af2e9b7ea29efff9decfd6da70d7fbe39aa7c,QUOTIDIANO.NET
316cf3d4f6545df1e36d7290b870821d7af1144e3f5b1bd9012ac8260cb28fbf,gnews,2026-04-30,2026-05-03T01:37:38.153253,"IA, ""a Londra il 46% della forza lavoro è sostituibile da macchine"". In Italia invece le opportunità ci sarebbero ma…",https://www.affaritaliani.it/economia/ia-a-londra-il-46-della-forza-lavoro-e-sostituibile-da-macchine-in-italia-invece-le-opportunita-ci-sarebbero-ma.html,notizia,it,"IA, ""a Londra il 46% della forza lavoro è sostituibile da macchine"". In Italia invece le opportunità ci sarebbero ma… Le due facce della stessa medaglia, l'intelligenza artificiale taglia ma crea anche nuovi impieghi, il problema è che sono altamente specializzati",316cf3d4f6545df1e36d7290b870821d7af1144e3f5b1bd9012ac8260cb28fbf,Affaritaliani.it
46ad6ce1a208a66d92f2bf20590ddd505b5803a07c610f7277ef1a882e189db8,gnews,2026-04-30,2026-05-03T01:37:38.153253,"iPhone, rivoluzione intelligenza artificiale per le foto. Così Apple tenta di rilanciarsi nella sfida big tech",https://www.quotidiano.net/tech/iphone-intelligenza-artificiale-foto-ax7nwz2o,notizia,it,"iPhone, rivoluzione intelligenza artificiale per le foto. Così Apple tenta di rilanciarsi nella sfida big tech Con iOS 27 debutta una nuova generazione di strumenti di AI per modificare, espandere e reinventare le immagini. Ma l’aggiornamento si inserisce in una strategia più ampia",46ad6ce1a208a66d92f2bf20590ddd505b5803a07c610f7277ef1a882e189db8,QUOTIDIANO.NET
25504d9c2e3cf5ed5acbd00197c1cf5b38d0ea2ad7651ed3ac9456a83ef70291,gnews,2026-05-02,2026-05-03T18:56:24.402762,Se i lavoratori addestrano l'AI che li licenzierà,https://www.corriere.it/opinioni/26_maggio_02/se-i-lavoratori-addestrano-l-ai-che-li-licenziera-84340f73-a997-4a99-b1d7-a728fd89exlk.shtml,notizia,it,"Se i lavoratori addestrano l'AI che li licenzierà Un software osserva e annota azioni e intenzioni dei lavoratori: sta addestrando agenti di intelligenza artificiale a operare esattamente come le controparti umane. Anzi, con più efficienza",25504d9c2e3cf5ed5acbd00197c1cf5b38d0ea2ad7651ed3ac9456a83ef70291,Corriere della Sera
9115f6a29ea6c67b49154f1963dd6855a937665634b09acc099d3d9b7e187f55,gnews,2026-05-02,2026-05-03T18:56:24.402762,AI trainer: il nuovo mestiere che insegna alla tecnologia a essere umana,https://www.giornaledibrescia.it/economia/ai-trainer-nuovo-mestiere-insegna-alla-tecnologia-a-essere-umana-vssvbr2e,notizia,it,"AI trainer: il nuovo mestiere che insegna alla tecnologia a essere umana Una figura ricercata dalle aziende per creare dati di alta qualità, distinguersi dai concorrenti e salvare l'intelligenza artificiale dal degrado",9115f6a29ea6c67b49154f1963dd6855a937665634b09acc099d3d9b7e187f55,Giornale di Brescia
d4b8ba62222c93c2b0c78bcb3171359602e961f7c13206d8f3be9ba425bd5b65,gnews,2026-05-02,2026-05-03T18:56:24.402762,"Perché i goblin hanno preso possesso di ChatGpt? È colpa dell'Ai che fa la ""nerd"" per compiacerci",https://www.corriere.it/tecnologia/26_maggio_02/perche-i-goblin-hanno-preso-possesso-di-chatgpt-e-colpa-dell-ai-che-fa-la-nerd-per-compiacerci-d985b7cb-f660-454a-a324-7d1afe247xlk.shtml,notizia,it,"Perché i goblin hanno preso possesso di ChatGpt? È colpa dell'Ai che fa la ""nerd"" per compiacerci OpenAI ha dovuto vietare esplicitamente al suo modello di parlare di goblin, gremlins e anche procioni. La spiegazione dice molto su come funziona l'addestramento dei modelli di intelligenza artificiale",d4b8ba62222c93c2b0c78bcb3171359602e961f7c13206d8f3be9ba425bd5b65,Corriere della Sera
cbed062845321a371b17062217141d766b1492844c031fc906d2c7306ef20414,gnews,2026-05-02,2026-05-03T18:56:24.402762,"Dilemma Ai, potenzia o indebolisce il cervello? I consigli dell'esperto per non farsi sovrastare",https://www.adnkronos.com/salute/dilemma-ai-potenzia-o-indebolisce-il-cervello-i-consigli-dellesperto-per-non-farsi-sovrastare_3UXFAzrHzraBKwZN2ockmR,notizia,it,"Dilemma Ai, potenzia o indebolisce il cervello? I consigli dell'esperto per non farsi sovrastare Dall'ex Google Andrea Prosperi, oggi Mindful Tech Trainer, una guida pratica per prendere il meglio dall'intelligenza artificiale, salvando memoria e pensiero critico. 'Con semplici microazioni ognuno di noi può costruirsi un futuro dove la tecnologia ci accompagna ma non ci",cbed062845321a371b17062217141d766b1492844c031fc906d2c7306ef20414,Adnkronos
e4091168f2644f9ea6fe6ec06aa67b67bea2eade3b06dfc0c438e2be5c1a4bba,gnews,2026-05-02,2026-05-03T18:56:24.402762,"Cina, la sentenza rivoluzionaria: non si può licenziare il dipendente sostituito dall'Ai",https://www.lastampa.it/esteri/2026/05/02/news/cina_la_sentenza_rivoluzionaria_non_si_puo_licenziare_il_dipendente_sostituito_dall_ai-15606879/,notizia,it,"Cina, la sentenza rivoluzionaria: non si può licenziare il dipendente sostituito dall'Ai La sentenza di Hangzhou riguardante l’impiegato di un'azienda tecnologica addetto al controllo qualità di sistemi basati su intelligenza artificiale, potrebbe …",e4091168f2644f9ea6fe6ec06aa67b67bea2eade3b06dfc0c438e2be5c1a4bba,La Stampa
1acc2a0b5d3ec2efa79a7d17842d67dc24f484ac9f76ab0f2b5a62a0fe2c680a,gnews,2026-05-02,2026-05-03T18:56:24.402762,Oscar 2027 regole intelligenza artificiale,https://tg24.sky.it/spettacolo/cinema/2026/05/02/oscar-2027-intelligenza-artificiale,notizia,it,"Oscar 2027 regole intelligenza artificiale Oscar 2027, nuove regole Academy: esclusi attori creati con IA, limiti alle sceneggiature, novità su nomination, film internazionali e categorie tecniche.",1acc2a0b5d3ec2efa79a7d17842d67dc24f484ac9f76ab0f2b5a62a0fe2c680a,Sky Tg24 
